ICAO;Operador Aéreo;Etapa;Voo;Equip;Assentos;Origem;Aeroporto Origem;Início;Partida Prevista;Chegada Prevista;dt_referencia;nr_voo;nr_etapa;Tipo;Destino;Aeroporto Destino;tx_codeshare
GTI;ATLAS AIR INC;1;0055;B744;0;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;30/01/2022;30/01/2022 15:20;30/01/2022 23:20;30/01/2022 00:00:00;0055;1;REGULAR DE CARGA INTERNACIONAL;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
KAL;KOREAN AIR LINES CO. LTD.;1;0274;B77F;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 21:50;31/01/2022 01:50;30/01/2022 00:00:00;0274;1;REGULAR DE CARGA INTERNACIONAL;SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT - SANTIAGO - CHILE;
UPS;UPS - UNITED PARCEL SERVICE CO.;1;0416;B763;0;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;30/01/2022;30/01/2022 09:35;30/01/2022 17:35;30/01/2022 00:00:00;0416;1;REGULAR DE CARGA INTERNACIONAL;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
UPS;UPS - UNITED PARCEL SERVICE CO.;2;0416;B763;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 19:20;30/01/2022 23:10;30/01/2022 00:00:00;0416;2;REGULAR DE CARGA INTERNACIONAL;SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT - SANTIAGO - CHILE;
UPS;UPS - UNITED PARCEL SERVICE CO.;1;0444;B763;0;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;30/01/2022;30/01/2022 08:10;30/01/2022 16:10;30/01/2022 00:00:00;0444;1;REGULAR DE CARGA INTERNACIONAL;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
UPS;UPS - UNITED PARCEL SERVICE CO.;1;0445;B763;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 17:40;31/01/2022 01:30;30/01/2022 00:00:00;0445;1;REGULAR DE CARGA INTERNACIONAL;KMIA;MIAMI INTERNATIONAL AIRPORT - MIAMI, FLORIDA - ESTADOS UNIDOS DA AMÉRICA;
LCO;LAN CARGO S.A.;1;1402;B763;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 11:55;30/01/2022 17:35;30/01/2022 00:00:00;1402;1;REGULAR DE CARGA INTERNACIONAL;SEQM;MARISCAL SUCRE INTERNATIONAL AIRPORT - QUITO - EQUADOR;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1645;B38M;186;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 18:05;30/01/2022 19:45;30/01/2022 00:00:00;1645;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1712;B738;186;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF - BRASIL;30/01/2022;30/01/2022 21:10;30/01/2022 22:55;30/01/2022 00:00:00;1712;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1749;B38M;186;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF - BRASIL;30/01/2022;30/01/2022 08:20;30/01/2022 09:55;30/01/2022 00:00:00;1749;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1902;B38M;186;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 11:25;30/01/2022 13:45;30/01/2022 00:00:00;1902;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1903;B38M;186;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;30/01/2022;30/01/2022 14:50;30/01/2022 17:25;30/01/2022 00:00:00;1903;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1904;B738;186;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 06:00;30/01/2022 08:20;30/01/2022 00:00:00;1904;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1905;B737;138;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;30/01/2022;30/01/2022 19:50;30/01/2022 22:25;30/01/2022 00:00:00;1905;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1992;B737;138;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;30/01/2022;30/01/2022 18:10;30/01/2022 19:25;30/01/2022 00:00:00;1992;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;1993;B737;138;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 20:05;30/01/2022 21:15;30/01/2022 00:00:00;1993;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2002;B734;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 09:25;30/01/2022 13:30;30/01/2022 00:00:00;2002;1;REGULAR DE CARGA DOMÉSTICA;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2003;B734;0;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;30/01/2022;30/01/2022 14:45;30/01/2022 18:30;30/01/2022 00:00:00;2003;1;REGULAR DE CARGA DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2037;E195;0;SBSL;MARECHAL CUNHA MACHADO - SÃO LUÍS - MA - BRASIL;30/01/2022;30/01/2022 01:15;30/01/2022 04:40;30/01/2022 00:00:00;2037;1;REGULAR DE CARGA DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
GLO;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);1;2054;B738;186;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM - RIO DE JANEIRO - RJ - BRASIL;30/01/2022;30/01/2022 22:15;30/01/2022 23:30;30/01/2022 00:00:00;2054;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2402;E295;136;SBPS;PORTO SEGURO - PORTO SEGURO - BA - BRASIL;30/01/2022;30/01/2022 10:40;30/01/2022 12:50;30/01/2022 00:00:00;2402;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2405;E195;118;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 14:00;30/01/2022 15:15;30/01/2022 00:00:00;2405;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBCN;NELSON RODRIGUES GUIMARÃES - CALDAS NOVAS - GO - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2420;A20N;174;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 08:35;30/01/2022 11:55;30/01/2022 00:00:00;2420;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBJE;JERICOACORA - CRUZ - CE - BRASIL;
